Company_Name,Date_of_leak,Date_of_attack,Company_URL,Company_Country,Company_Address,Industry_Type,"Company_Description (Important ones, interesting ones)","Notes, and Interesting things",Data_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
Indiana Dimension,13/7/2023,7/7/2023,www.indianadimension.com,United States,"Logansport, IN",Paper and Forest Product Manufacturing,,,"Private and personal confidential data, clients and employee documents, passports, HR, contracts, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Star Island Resort,13/7/2023,7/7/2023,www.star-island.com,United States," Kissimmee, FL",Hospitality,,,"Private and personal confidential data, clients and employee documents, passports, HR, contracts, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Lazer Tow,13/7/2023,7/7/2023,www.lazertow.com,United States,"Grandview, Missouri",Individual and Family Services,,,"Private and personal confidential data, clients and employee documents, clients base, passports, contracts, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Intoximeters,11/7/2023,7/7/2023,www.intox.com,United States," St.Louis, MO",Consumer Services,,,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Safety Network,12/7/2023,6/7/2023,www.safetynetworkinc.com,United States," Granite Bay, California",Construction,,,"Private and personal confidential data, clients and employee documents, contracts, finance, and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Capacity LLC,12/7/2023,6/7/2023,www.capacityllc.com,United States," North Brunswick, NJ",Transportation comman Logistics comma Supply Chain and Storage,,,"Private and personal confidential data, clients and employee documents, passports, IDs, contracts, tax, and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Betty Lou's,12/7/2023,6/7/2023,www.bettylousinc.com,United States," McMinnville, Oregon",Food Production,,,"Private and personal confidential data, clients and employee documents, passports, contracts, and etc.",1,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0
MUJI Europe Holdings Limited,12/7/2023,6/7/2023,www.muji.eu,United States," London, London",Retail,,connection refused: date 14 Oct,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Geneva Software,12/7/2023,6/7/2023,www.genevasi.com,United States," Herndon, VA",IT Services and IT Consulting,,,"Private and personal confidential data, clients and employee documents, contracts, taxes, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Uniquify,12/7/2023,6/7/2023,www.uniquify.com,United States," San Jose, CA",Semiconductor Manufacturing,,Technical documentation,"Private and personal confidential data, clients and employee documents, a lot of technical documentation, contracts and etc.",1,0,0,1,1,1,0,0,0,0,0,0,0,,,0,0
NST Attorneys at Law,12/7/2023,6/7/2023,www.nstlaw.com,United States," Memphis, TN",Legal Services,,"Insurance, lawsuits at a Law firm","Private and personal confidential data, clients and employee documents, passports, IDs, SSNs, insurance, contracts, lawsuits and etc.",1,0,0,1,0,1,1,0,0,0,0,0,0,,,0,0
Cambridge Group of Clubs,3/7/2023,27/6/2023,www.cambridgegroupofclubs.com,Canada," Toronto, Ontario",Wellness and Fitness Services,,,"Private and personal confidential data, clients and employee documents, finance, passports, clients db, IDs, taxes, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Algotech,3/7/2023,27/6/2023,www.algotech.cz,Czech Republic,Prague 8 - Karlín,IT Services and IT Consulting,,Czech Republic,"Private and personal confidential data, clients and employee documents.",1,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Wolfs Block Management Limited,27/6/2023,21/6/2023,www.wolfsproperty.co.uk,United Kingdom,"Birmingham, United Kingdom",Real Estate,Wolfs Block Management Limited is a dissolved company that was located in Birmingham. It operated in the management of real estate on a fee or contract basis sector.,,"Private and personal confidential data, clients and employee documents, passports, contracts, and etc.",1,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Lorclon,27/6/2023,21/6/2023,www.lorclon.com,United Kingdom,"London, United Kingdom",Civil Engineering,,commercial information,"Private and personal confidential data, clients and employee documents, passports, contracts, taxes, commercial information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Allpro Consulting Group,27/6/2023,21/6/2023,www.allprocgi.com,United States," Dallas, Texas",Telecommunications,,,"Private and personal confidential data, clients and employee documents, passports, contracts, scans, taxes and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Luís Simoes,27/6/2023,21/6/2023,www.luis-simoes.com,Portugal,"Loures, Lisbon, Portugal","Transportation, Logistics, Supply Chain and Storage",,logistics,"Private and personal confidential data, clients and employee documents, passports, contracts, logistic, taxes and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Federation Francaise de Rugby,27/6/2023,21/6/2023,www.ffr.fr,France," Marcoussis, France",Sports devant spectateurs,,,"Private and personal confidential data, clients and employee documents, passports, hr and etc.",1,0,0,1,0,1,0,0,0,0,0,0,0,,,0,0
PWI Engineering,27/6/2023,21/6/2023,www.pwius.com,United States," Cherry Hill, NJ",Mechanical Or Industrial Engineering,,projects,"Private and personal confidential data, clients and employee documents, projects, passports, finance and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
OMNIPOL,27/6/2023,21/6/2023,www.omnipol.com,Czech Republic,Czech Republic,Defense and Space Manufacturing,,secret infromation from a defence and security solutions industry,"Private and personal confidential data, clients and employee documents, passports, finance, project, secret informaion and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Summit Hut,27/6/2023,21/6/2023,www.summithut.com,United States," Tucson, Arizona",Retail,,,"Private and personal confidential data, clients and employee documents, passports, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Dancie Perugini Ware Public Relations,27/6/2023,21/6/2023,www.dpwpr.com,United States," Houston, Texas",Public Relations and Communications Services,,,"Private and personal confidential data, clients and employee documents, passports, finance, tax and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Peter Mark,27/6/2023,21/6/2023,www.petermark.ie,Ireland," Leinster, Ireland",Retail Apparel and Fashion,,,"Private and personal confidential data, clients and employee documents, passports, cliens base, hr, finance, tax and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
