,Company,Company Description,Date Victimised,,Number of Clicks,Status,pageurl
64,beamconstruction.com,"Construction company. 187GB - Financial reports, payment journal, bank statements, tax forms, various accounting documentation - Lists of employees with confidential data (ssn numbers, residential addresses, date of birth, contracts, FMLA forms, s...",10/14/2023 14:17,"06 SEP, 2023 21:55 UTC",4384,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/mCzAok8GUxcvw5rI64f8f523b6328
65,stavinvest.cz,Meroso Foods has a deep-rooted history as Belgium-based food manufacturer. Different milestones throughout more than 60 years have made the company and its product portfolio what it is today.,10/14/2023 14:17,"07 SEP, 2023 06:45 UTC",4223,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ed7DluZZFftYwpbx64f97183b9558
66,perfectlaw.com,"PerfectLaw® is the most function- and feature-rich legal software that uses a single All-in-One® database for all law office applications. This means you enter your data once and it is immediately available to everyone and every application, subject...",10/14/2023 14:17,"08 SEP, 2023 16:38 UTC",4287,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/C6ruX3QDT5kBREHz64fb4dd086cc3
67,milbermakris.com,"Milber Makris Plousadis & Seiden, LLP is a full-service civil litigation defense firm and business partner to the insurance industry",10/14/2023 14:17,"08 SEP, 2023 16:42 UTC",4297,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/I7YHu0tfHJqAGMBk64fb4ed3d38b3
68,pelicanwoodcliff.com,"Welcome to Pelican Woodcliff. We are an independent multi-disciplinary real estate advisory and cost consulting firm. It is our goal to envision, evaluate and excel in order to maximize the success of our clients projects. We enhance the chances of a...",10/14/2023 14:17,"15 SEP, 2023 10:05 UTC",5264,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/XrZt0YJU1wFuMyxj65042c53e1dc2
69,carthagehospital.com,"Claxton-Hepburn Medical Center is a private, not-for-profit, 127-bed community hospital and regional referral center. Claxton-Hepburn includes 67 acute-care beds, a 10-bed intensive care unit, a 10-bed birthing center, a 28-bed acute adult mental hea...",10/14/2023 14:17,"14 SEP, 2023 13:11 UTC",6049,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/5SwZtCIPCJkJLoom6502e5b61d25b
70,clearcreek.org,"There are some things that make Clear Creek who we are. We find our root in the Bible but we stay on mission in our modern world by remembering and focusing on five primary values: Gospel Centrality, Biblical Community, Missional Living, Relentless S...",10/14/2023 14:18,"13 SEP, 2023 19:06 UTC",6376,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/VbKIzSSb0re3HeaO6502081228e7c
71,sinloc.com,"Sinloc is a consulting and investment firm with operations throughout Italy. We promote development of local infrastructure, providing advisory services, feasibility studies and direct investments in Public-Private Partnerships",10/14/2023 14:22,"12 SEP, 2023 15:09 UTC",6926,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/n8UDAAbwZRLEaPil65007efad8fe6
72,deeroaks.com,"REVENUE about of 30kk Deer Oaks is a full-service behavioral health organization. It offers a comprehensive employee assistance program, geropsychology services, psychiatric medication, management services, and telemedicine services. The company w...",10/14/2023 14:18,"11 SEP, 2023 18:27 UTC",7466,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/yLQKdlVnOI6NZ5ck64ff5bdc0e8ed
73,co.grant.mn.us,The City of Grant is located on the eastern fringe of the Twin Cities' urban core area within west central Washington County.,10/14/2023 14:22,"11 SEP, 2023 08:09 UTC",7448,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/0HCX9f14ZFk56gL064fecb1ba7610
