,Company URL,Company Description,Date Victimised ,Number of Clicks,Status,Company_Country,Industry_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
80,ragasa.com.mx,"RAGASA INDUSTRIES, S.A. DE C.V., PROTEINAS NATURALES, S.A. DE C.V., BASIC PROTEINS, S.A. DE C.V., ADMINISTRATIVE AND COMMERCIAL INTEGRAL SERVICES, S.A. DE C.V., CONTROLLING ENTITY, S.A. DE C.V., INMUEBLES RAGAR, S.A. DE C.V., RAUL GARCIA Y CIA., S.A....","06 SEP, 2023 22:45 UTC",11748,Published,México,Servicios de alimentos y bebidas,,,,,,,,,,,,,,,,,
81,qsoftnet.com,"QSOFT's free billing program also includes a free integrated web and virtual store and the WooCommerce, PrestaShop and osCommerce connector. Try its advantages! and discover why our software is the best eCommerce solution. Qsoft is the leading busin...","06 SEP, 2023 22:02 UTC",10788,Published,,,,,,,,,,,,,,,,,,,
82,meroso.be,Meroso Foods has a deep-rooted history as Belgium-based food manufacturer. Different milestones throughout more than 60 years have made the company and its product portfolio what it is today.,"06 SEP, 2023 21:59 UTC",10329,Published,België / Belgique / Belgien,Food and Beverage Manufacturing,,,,,,,,,,,,,,,,,
83,concrejato.com.br,"Created in the 1970s, Concrejato specializes in the execution of technical services for industrial and special works, recovery and structural reinforcement, restoration of historical and architectural heritage, retrofit and maintenance of distributio...","06 SEP, 2023 21:56 UTC",9988,Published,Brasil,Obras de infra-estrutura,,,,,,,,,,,,,,,,,
84,protosign.it,"Protosign Srl Registered office: Via Giuseppe Candiani 98 -20158- Milan n° Company register registration: MI-1714539 - 15/05/2003 Share capital: €10,000.00 iv VAT number: 03949800969","06 SEP, 2023 21:50 UTC",10572,Published,India,Design Services,,,,,,,,,,,,,,,,,
85,nobleweb.com,"Since 1992, The Noble Group has built a dedicated team of professionals all working together to revitalize neighborhoods, provide new homes for families and build a better future for our investors. 260GB lists with ssn numbers, residential addresse...","06 SEP, 2023 21:34 UTC",9641,Published,United States,Real Estate,,,,,,,,,,,,,,,,,
86,gormanusa.com,"Gorman & Company was founded in 1984. They work closely with local governments and community groups to help communities meet their development, planning, economic and social goals.","06 SEP, 2023 21:23 UTC",9326,Published,United States,Real Estate,,,,,,,,,,,,,,,,,
87,onyx-fire.com,"Onyx-Fire Protection Services Inc is a company that operates in the Security and Investigations industry 800 GB Financial documents (balance sheets, budget, PL reports, expense reports, bank statements, statements of payables and receivables, var...","06 SEP, 2023 21:17 UTC",9342,Published,,,,,,,,,,,,,,,,,,,
88,esprigas.com,"EspriGas is a technology driven beverage, medical, and industrial gas company. It brings a modern approach to the gas industry by utilizing a network business model to deliver products nationally. - Financial reports, payment journal, bank statement...","29 AUG, 2023 09:45 UTC",13166,Published,United States,"Transportation, Logistics, Supply Chain and Storage",,,,,,,,,,,,,,,,,
89,cciamp.com,We have over a million files downloaded from your network. You have 48 hours to contact us.,"01 SEP, 2023 21:23 UTC",16313,Published,France,Administration publique,,,,,,,,,,,,,,,,,
90,glprop.com,"Global Logistic Properties Ltd. operates as an investment holding company, which through its subsidiaries engages in the provision of distribution facilities and services. Its business solutions include multi-tenant distribution facilities developmen...","02 SEP, 2023 17:30 UTC",11815,Published,,,,,,,,,,,,,,,,,,,
91,ramlowstein.com,"Architecture, Engineering & Design · Wisconsin, United States ·","02 SEP, 2023 16:57 UTC",10301,Published,United States,Architecture and Planning,,,,,,,,,,,,,,,,,
92,neolife.com,"Neolife Food & Beverage · California, United States · 135 Employees NeoLife International Ltd is a company that operates in the Health, Wellness and Fitness industry. It employs 101-250 people and has $10M-$25M of revenue.","02 SEP, 2023 15:37 UTC",10015,Published,United States,Wellness and Fitness Services,,,,,,,,,,,,,,,,,
93,seasonsdarlingharbour.com.au,"Seasons Darling Harbour Hospitality • New South Wales, Australia Seasons Darling Harbour provides boutique style accommodation in Darling Harbour, Sydney. We offer spacious and comfortable suites & apartments. See more!","02 SEP, 2023 15:33 UTC",9788,Published,Australia,Hospitality,,,,,,,,,,,,,,,,,
94,nerolac.com,"Revenue about of 1kkk USD We have download a lot of private data: confidential agreements, bank information, driver licenses, finance private data, insurances, a lot of passports, payroll information etc. Founded in 1920, Kansai Nerolac Paints...","02 SEP, 2023 15:32 UTC",9976,Published,India,Consumer Goods,,,,,,,,,,,,,,,,,
95,gh2.com,"GH2 Architects - Business Information Architecture, Engineering & Design · Oklahoma, United States ·","02 SEP, 2023 15:23 UTC",9661,Published,United Kingdom,Renewable Energy Semiconductor Manufacturing,,,,,,,,,,,,,,,,,
96,designlink.us,"Design Link - Business Information Business Services · Georgia, United States ·","02 SEP, 2023 15:18 UTC",9486,Published,Singapore,Architecture and Planning,,,,,,,,,,,,,,,,,
97,attorneydanwinder.com,"For the best legal assistance in Las Vegas, NV, trust the dedicated staff at the Law Office Of Dan M Winder, P.C., who will work hard to ensure the best possible outcome for you. We have a wealth of experience to serve your legal needs.","02 SEP, 2023 15:11 UTC",9340,Published,,,,,,,,,,,,,,,,,,,
98,sterncoengineers.com,,"02 SEP, 2023 15:08 UTC",9038,Published,,,,,,,,,,,,,,,,,,,
